Description,Manufacturer,Manufacturer Part Number,Additional requirements,Reference designator,Quantity
"320060264, SMD FPC CONN;40P-0.5-90D, A.6 (Design)",百斯特,0.5K-DX-40PWB,,J8,1
"320060764, SMD FPC CONN;22P-0.5mm-90D-Bottom Contact-L15.40*W5.25*H2.00mm, A.3 (Design)",百斯特,0.5K-DX-22PWB,,J17,1
"320090000, SMD SD Card Holder;9P-L14.7*W13.8*H1.0mm, B.2 (Design)",山旗,ST-TF-003J,,J1,1
"320110032, SMD Grove Female Header-Beige;4P-2.0-90D, A.5 (Design)",思拓展,PHS-4A 卧贴,2.0-4P卧贴带锁座子,J7,1
"320111077, SMD U-FL Female CONN-Gold;3P-L2.6*W2.6*H1.25mm, A.5 (Design)",HRS,U.FL-R-SMT-1,,J3 J5 J9 J12,4
"320111319, SMD Female JST SH- R/A;4P-1.0, A.2 (Design)",思拓展,WY-4539,L6.5*W5.55*H2.15,J18,1
"320140517, DIP RJ45;1000M,Integrated Magnetics,G/O/Y 3 LEDs,Right Angle;16P-21.25*15.93*13.3mm, A.2 (Design)",LINK-PP,LPJG0933H11NL,,J24,1
"320140556, DIP RJ11 W/P;4+2P-L21.5*W13.8*H13.3mm, A.4 (Design)",LINK-PP,LPJE158-0DNL,,J2,1
"320170000, SMD Battery Cell Holder Plastic;CR1220-15*13*H4mm, B.2 (Design)",鸣腾,MTBA20-1220A0-05133,,J10,1
"320991224, SMD MikroBus Female Header;2*8P-2.54mm, A.2 (Design)",MIKROE,MIKROE-5210,SOCKET mikroBUS 16 SMD,J21,1
"323040700, BeaglePlay shielding cover; 0.2mm thick white copper, 21.4*16.9*1.7mm, A.5 (design)",明昱,,,SH1,1
"318020828, External Antenna 2.4G&5G-3.4dBi;IPEX1-PCB, A.2 (Design)",MyAntenna,M01-0200890R0A,PCB:45.0*15.0*0.8 mm,,3
"318020829, External Antenna 860-930M-1.92dBi;IPEX1-PCB, A.2 (Design)",MyAntenna,M01-0400630R0A,PCB:125.5*10.0*0.8 mm,,1
"326010061, Screw; Cross header tooth screw-PM3*6mm-White-NYLON, A.3 (Design)",HKWASI,PF3-6N,,,4
"326050029, Stud; Shuangtong Hexagon Step -M3.0XH8.0mm-Nylon-White, A.3 (Design)",HKWASI,HTP-308,,,4
